predicate,argument,role_type,reasons 1,reasons 2,reasons 3
advise,banker,ARG0,"The PropBank ARG0 role for the predicate 'advise' should have the properties of being a person or entity that is providing advice, and the advice should be the main focus of the sentence.","The argument 'banker' has the property of being a person or entity that is providing advice, which is relevant to the predicate 'advise'.",The argument 'banker' fits the PropBank ARG0 role for the predicate 'advise' because it is the person or entity that is providing the advice.
advise,banker,ARG1,"The PropBank ARG1 role for the predicate 'advise' should have the properties of being a 'patient' or 'theme' of the action, and representing the entity or concept that is being advised or counseled.","The argument 'banker' has the properties of being a 'patient' or 'theme' of the action, and representing the entity or concept that is being advised or counseled.","The argument 'banker' will fit the PropBank ARG1 role for the predicate 'advise' because it is the entity or concept that is being advised or counseled. In this case, the banker is the patient or theme of the action, and is the entity that is being advised or counseled by the speaker."
advise,biologist,ARG0,"The PropBank ARG0 role for the predicate 'advise' should have the properties of being a person or entity that is providing advice, and the advice should be the main focus of the sentence.","The argument 'biologist' has the property of being a person or entity that is providing advice, and the advice is the main focus of the sentence.","The argument 'biologist' fits the PropBank ARG0 role for the predicate 'advise' because it is a person or entity that is providing advice. The advice is the main focus of the sentence, and the biologist is the one providing it."
advise,biologist,ARG1,"The PropBank ARG1 role for the predicate 'advise' should have the properties of being a 'patient' or 'theme' of the action, and representing the entity or concept that is being advised or counseled.","The argument 'biologist' has the property of being a 'patient' or 'theme' of the action, and representing the entity or concept that is being advised or counseled.","The argument 'biologist' will fit the PropBank ARG1 role for the predicate 'advise' because it is the entity or concept that is being advised or counseled. In this case, the biologist is the patient or theme of the action, and the predicate 'advise' is the action that is being performed on the biologist."
advise,business,ARG0,"The PropBank ARG0 role for the predicate 'advise' should have the properties of being a person or entity that is providing advice, and the advice should be the main focus of the sentence.","The argument 'business' has the properties of being a noun that refers to a type of enterprise or organization, and the advice being given is likely to be related to the management or operation of a business.","The argument 'business' will fit the PropBank ARG0 role for the predicate 'advise' because it is a noun that refers to a type of enterprise or organization, and the advice being given is likely to be related to the management or operation of a business."
advise,business,ARG1,"The PropBank ARG1 role for the predicate 'advise' should have the properties of being a 'patient' or 'theme' of the action, and representing the entity or concept that is being advised or counseled.","The argument 'business' has the properties of being a 'patient' or 'theme' of the action, and representing the entity or concept that is being advised or counseled.","The argument 'business' will fit the PropBank ARG1 role for the predicate 'advise' because it is the entity or concept that is being advised or counseled. In other words, it is the patient or theme of the action."
advise,client,ARG0,"The PropBank ARG0 role for the predicate 'advise' should have the properties of being a person or entity that is providing advice, and the advice should be the main focus of the sentence.","The argument 'client' for the predicate 'advise' has the properties of being the person or entity that is seeking advice, and the advice is the main focus of the sentence.","The argument 'client' will fit the PropBank ARG0 role for the predicate 'advise' because it is the person or entity that is seeking advice, and the advice is the main focus of the sentence."
advise,client,ARG1,"The PropBank ARG1 role for the predicate 'advise' should have the properties of being a 'patient' or 'theme' of the action, and representing the entity or concept that is being advised or counseled.","The argument 'client' has the properties of being the 'patient' or 'theme' of the action, and representing the entity or concept that is being advised or counseled.","The argument 'client' will fit the PropBank ARG1 role for the predicate 'advise' because it is the entity or concept that is being advised or counseled. The client is the patient or theme of the action, and the predicate 'advise' is the action of giving advice or counsel. Therefore, the argument 'client' is a valid fit for the PropBank ARG1 role for the predicate 'advise'."
advise,customer,ARG0,"The PropBank ARG0 role for the predicate 'advise' should have the properties of being a person or entity that is providing advice, and the advice should be the main focus of the sentence.","The argument 'customer' has the properties of being the person or entity that is seeking advice, and the advice is the main focus of the sentence.","The argument 'customer' fits the PropBank ARG0 role for the predicate 'advise' because it is the person or entity that is seeking advice, and the advice is the main focus of the sentence."
advise,customer,ARG1,"The PropBank ARG1 role for the predicate 'advise' should have the properties of being a 'patient' or 'theme' of the action, and representing the entity or concept that is being advised or counseled.","The argument 'customer' has the properties of being the 'patient' or 'theme' of the action, and representing the entity or concept that is being advised or counseled.","The argument 'customer' will fit the PropBank ARG1 role for the predicate 'advise' because it is the entity or concept that is being advised or counseled. In other words, the customer is the patient or theme of the action of being advised or counseled."
