predicate,argument,sentence 1,sub-fit score 1,sentence 2,sub-fit score 2,sentence 3,sub-fit score 3,sentence 4,sub-fit score 4,sentence 5,sub-fit score 5,actual_fit,exp_fit
serve,plate,The chef used a plate to serve the appetizers elegantly.,1.0,"In the banquet, a beautifully decorated plate was chosen to serve the main course.",0.9,They decided to serve the dessert on a cold plate to enhance its flavor.,1.0,"For the tasting event, a small plate was the perfect instrument to serve the variety of cheeses.",0.9,"At the pottery class, we learned how a handmade plate could serve as a unique way to present meals.",1.0,5.9,0.96
serve,tray,The waiter used a tray to serve the guests their drinks.,1.0,"In the bustling cafeteria, a tray was essential to serve food efficiently.",0.9,,0.8,"To serve the high tea elegantly, a silver tray was employed.",1.0,"During the flight, the attendant used a small tray to serve snacks to the passengers.",0.9,6.5,0.92
serve,glass,The waiter used a glass to serve the sparkling water.,1.0,"In the elegant dinner, a finely crafted glass was chosen to serve the vintage wine.",1.0,"During the ceremony, a ceremonial glass was used to serve the sacred beverage.",1.0,"At the beach bar, a colorful glass was selected to serve the tropical cocktail.",1.0,"In the art cafe, a hand-painted glass was utilized to serve the artisanal lemonade.",1.0,4.9,1.0
serve,platter,The waiter served the appetizers on a beautifully decorated platter.,1.0,"At the family reunion, Grandma served her famous lasagna using a large, antique platter.",1.0,"During the wedding reception, the caterers served hors d'oeuvres on a silver platter to the guests.",1.0,"In the cooking show, the chef served the gourmet cheese selection on a rustic wooden platter.",1.0,,0.8,5.8,0.96
serve,bucket,,0.1,,0.1,"In the medieval-themed restaurant, the waiter served drinks in a bucket as part of the unique dining experience.",1.0,,0.1,"In the old well, a bucket was served as a crucial tool to draw water for the villagers.",0.9,1.4,0.44
sweep,mop,,0.9,He will sweep the hallway with a mop.,1.0,They are sweeping the dirty classroom using a mop.,1.0,,0.9,,0.9,3.7,0.94
sweep,rag,,0.6,,0.6,,0.6,,0.6,,0.6,3.1,0.6
sweep,broom,She used the broom to sweep the dusty floor.,1.0,He grabbed the broom to sweep the leaves off the porch.,1.0,They always sweep the classroom with a sturdy broom before leaving.,1.0,"I need to sweep the garage, can you pass me the broom?",1.0,"After the party, we had to sweep up all the confetti with a broom.",1.0,7,1.0
sweep,rake,She decided to sweep the fallen leaves in the backyard using a rake as her instrument.,1.0,"To make the job easier, he used a rake to sweep the debris off the driveway.",0.9,They found that using a rake to sweep the garden paths was more effective than a broom.,0.8,I will sweep the shed floor with a rake to gather all the straw efficiently.,0.9,"After the storm, we had to sweep up all the twigs and leaves, so we grabbed a rake to do it quickly.",1.0,3,0.92
sweep,brush,She used the brush to sweep the floor clean.,0.9,,0.9,"With a small brush, they managed to sweep the dust off the ancient manuscript.",1.0,I need a brush to sweep up this broken glass safely.,0.8,Can you pass me that brush to sweep the sand off the picnic blanket?,0.8,3.7,0.88
sweep,rock,,0.1,,0.1,,0.1,,0.1,,0.1,1,0.1
write,pen,She used a pen to write her novel.,1.0,He grabbed a pen to write down the phone number.,1.0,"With a pen in hand, she began to write her essay.",1.0,They always write their grocery lists with a pen.,1.0,I need a pen to write a letter to my friend.,1.0,6.9,1.0
write,keyboard,She used the keyboard to write her first novel.,1.0,He can write incredibly fast when he's using his ergonomic keyboard.,1.0,"With a keyboard at her fingertips, she can write articles all day long.",1.0,,0.9,I prefer to write my emails using a mechanical keyboard for a better typing experience.,1.0,4.8,0.98
write,thesaurus,She decided to write her novel using a thesaurus to find the perfect words.,1.0,The author managed to write his entire research paper with a thesaurus by his side for inspiration.,0.8,,0.1,He was able to write his speech more eloquently by utilizing a thesaurus for better word choices.,1.0,,0.1,3.8,0.6
write,stick,She used a stick to write her name in the wet sand.,1.0,He found a sharp stick and decided to write a message on the dirt floor.,0.9,"With no pen available, they had to write the directions in the mud using a stick.",1.0,The child grabbed a stick and began to write numbers on the ground as part of a game.,0.9,"In the ancient times, people would often use a stick to write symbols on soft clay tablets.",1.0,1.8,0.96
write,pencil,She used a pencil to write her essay.,1.0,He grabbed a pencil to write down the phone number.,1.0,"With a pencil in hand, she began to write her novel.",1.0,They always write their grocery list with a pencil.,1.0,I prefer to write my letters using a pencil for that personal touch.,1.0,6.8,1.0
write,desk,"She used the desk to write her novel, finding inspiration in its old, wooden surface.",1.0,,0.2,,0.2,"In the quiet of the night, the desk became his perfect instrument to write down his thoughts.",0.9,,0.2,4.9,0.5
write,wire,,0.1,The artist decided to write his next message on the canvas using a piece of wire.,0.6,"In the workshop, he found a way to write the labels by twisting a wire into letters.",0.9,"During the survival training, they learned to write SOS on the ground using a wire and rocks.",0.8,"To leave a permanent mark, she chose to write her initials on the clay pot using a thin wire.",0.9,1,0.66
write,sword,,0.1,"In an ancient ritual, the priest would write symbols on the ground with a sword to invoke the gods.",0.7,"The artist, seeking to blend martial arts with calligraphy, would write poems on large canvases using a sword dipped in ink.",0.9,"During the ceremony, the knight would write his oath in the sand with his sword, pledging allegiance to the king.",0.8,"In a unique form of communication, the spy would write coded messages on parchment using the tip of a sword to avoid detection.",0.8,1,0.66
write,box,She used a box to write her novel by carving each letter into its wooden surface.,0.8,He found an innovative way to write his messages by using a box with pre-cut symbols.,0.9,"In the art class, children were encouraged to write their names using a box filled with colorful sand.",0.8,,0.1,The artist decided to write a poem on the sidewalk by dragging a box that left a trail of chalk dust.,0.9,1,0.7
paint,brush,She used a brush to paint the mural on the wall.,1.0,"With a brush in his hand, he began to paint the canvas.",1.0,They found an old brush to paint the fence.,1.0,I need a new brush to paint my room.,1.0,He carefully selected a brush to paint the delicate details.,1.0,6.8,1.0
paint,roller,She used a roller to paint the living room walls smoothly.,1.0,"To achieve an even coat, he decided to paint the fence with a roller.",1.0,They found it easier to paint the large mural by using a roller.,1.0,"I will paint the entire hallway this weekend, relying on my trusty roller.",1.0,"For her art project, she chose to paint the canvas with a roller for a unique texture.",1.0,6.6,1.0
paint,straw,She used straw to paint a unique texture on her canvas.,0.7,The artist discovered that straw could paint delicate lines better than some brushes.,0.7,"In his workshop, he demonstrated how to paint with straw to achieve a rustic effect.",0.8,"They found that to paint an authentic thatched pattern, using straw was surprisingly effective.",0.9,"During the art class, the instructor showed how straw can paint interesting patterns not achievable with traditional tools.",0.9,1.4,0.8
paint,paint,She used the bright red paint to paint the mural on the wall.,1.0,He decided to paint the old fence with the leftover white paint from the shed.,1.0,They gathered all the paint they could find to paint the community center.,1.0,I will paint the canvas using the acrylic paint I bought yesterday.,1.0,"To paint the scenery, she mixed the blue and green paint to get the perfect shade.",1.0,7,1.0
paint,can,She used a can to paint the mural on the wall.,1.0,He grabbed a can to paint his bicycle red.,1.0,They found an old can in the garage to paint the fence.,1.0,I need a can to paint the model airplane for the competition.,1.0,"With a can in hand, she set out to paint her masterpiece.",1.0,5.2,1.0
paint,sponge,She used a sponge to paint the textured walls of her living room.,0.9,He dipped the sponge in blue paint and started decorating the backdrop for the play.,1.0,"With a sponge soaked in green paint, they began to create a mural on the school wall.",1.0,"They found that using a sponge to paint the furniture gave it a unique, textured look.",1.0,"To achieve the desired effect on the canvas, the artist carefully painted with a sponge.",1.0,4.5,0.98
paint,rag,"She used a rag to paint the old furniture, giving it a new life.",0.8,"With a rag dipped in paint, he managed to create an abstract masterpiece.",0.9,They found an innovative way to paint the mural by utilizing a rag instead of traditional brushes.,0.9,I decided to paint the deck with a rag to achieve a more textured look.,0.9,"He taught them how to paint with a rag, showing different techniques to achieve various effects.",0.9,3.9,0.88
shoot,gun,The detective used the gun to shoot the lock off the door.,1.0,"In the action movie, the hero managed to shoot the villains with a gun he found abandoned.",1.0,"During the competition, she chose to shoot with a gun that was lighter and more accurate than her usual one.",1.0,"To signal the start of the race, the official will shoot a blank from a gun.",1.0,"He had to shoot the rabid animal to protect his family, using his hunting gun.",1.0,6.8,1.0
shoot,straw,The detective used a straw to shoot a small dart at the target.,0.8,"In the science class, students learned how to shoot water droplets through a straw.",1.0,"During the party, he decided to shoot spitballs through a straw at his friends for fun.",1.0,She found an innovative way to shoot paint onto the canvas using a straw.,0.9,"To entertain the children, the clown would shoot confetti out of a straw.",0.9,1.5,0.92
shoot,rifle,The hunter used a rifle to shoot the deer from a distance.,1.0,"In the competition, she chose to shoot with a customized rifle for better accuracy.",1.0,"During the military exercise, the soldiers were instructed to shoot their targets using a rifle.",1.0,He learned to shoot a rifle at the age of twelve during his summer camp in the mountains.,1.0,"To survive in the wild, she had to shoot small game with a rifle she found in the abandoned cabin.",1.0,6.8,1.0
shoot,cannon,The soldiers used the cannon to shoot at the enemy fortifications.,1.0,,0.9,"To signal the start of the race, the officials decided to shoot a cannon.",1.0,"In the movie, the pirates shoot the cannon at the approaching ships to defend their treasure.",1.0,The museum has a demonstration where they show how to shoot a cannon from the 18th century.,1.0,4.5,0.98
shoot,pistol,The detective used a pistol to shoot the lock off the door.,1.0,"In the action movie, the hero managed to shoot the villains with a pistol from a moving car.",1.0,"During the competition, she chose to shoot with a specially designed pistol for better accuracy.",1.0,"To defend himself, he had no choice but to shoot the attacker with his hidden pistol.",1.0,"In the training session, the instructor demonstrated how to properly shoot a target using a pistol.",1.0,6.5,1.0
