predicate,argument,sentence 1,sub-fit score 1,sentence 2,sub-fit score 2,sentence 3,sub-fit score 3,sentence 4,sub-fit score 4,sentence 5,sub-fit score 5,actual_fit,exp_fit
serve,library,,0.7,A renovated warehouse will serve the community as a library.,0.9,The old school building will now serve as a new library.,0.9,,0.7,,0.7,2.4,0.78
serve,restaurant,The famous chef decided to serve his new dish exclusively at the downtown restaurant.,1.0,They plan to serve the special holiday menu only at the family-owned restaurant on Main Street.,1.0,The award-winning pie will now be served at the small restaurant nestled in the heart of the city.,1.0,"After years of anticipation, the celebrity chef will finally serve her signature dish at the restaurant overlooking the river.",1.0,The renowned sushi master agreed to serve his legendary omakase menu at the upscale restaurant located in the hotel lobby.,1.0,7,1.0
serve,hospital,Volunteers serve meals to the needy at the hospital every weekend.,1.0,The hospital serves as a training ground for new medical interns.,1.0,"During the crisis, the school gym was transformed to serve as an additional hospital.",0.9,,0.8,"In wartime, many buildings were repurposed to serve as temporary hospitals.",1.0,5.1,0.94
sweep,living room,I will sweep the living room to get rid of the dust.,1.0,Can you sweep the living room before our guests arrive?,1.0,"After the party, we had to sweep the living room for hours to clean it up.",1.0,She makes it a point to sweep the living room every morning.,1.0,"They forgot to sweep the living room, and now it's covered in pet hair.",1.0,2.3,1.0
sweep,bathroom,I will sweep the bathroom to ensure it's clean.,1.0,Can you sweep the bathroom before our guests arrive?,1.0,"After the party, we had to sweep the bathroom for any spilled drinks.",1.0,"Every morning, she makes it a point to sweep the bathroom.",1.0,"Before applying the new tiles, they decided to sweep the bathroom thoroughly.",1.0,4.8,1.0
sweep,restaurant,"Every morning, the staff sweep the restaurant to ensure it's clean for the day's customers.",1.0,"After closing, they sweep the restaurant thoroughly, leaving no corner untouched.",1.0,Can you sweep the restaurant while I take care of the dishes?,1.0,"During the renovation, it was challenging to sweep the restaurant with all the dust and debris.",1.0,It's your turn to sweep the restaurant before we lock up for the night.,1.0,6.1,1.0
sweep,kitchen,"Every morning, she would sweep the kitchen to keep it clean.",1.0,"After the party, we had to sweep the kitchen because it was a mess.",1.0,Can you sweep the kitchen while I take care of the dishes?,1.0,He decided to sweep the kitchen after noticing crumbs under the table.,1.0,They make a habit to sweep the kitchen floor every night before bed.,1.0,6.8,1.0
sweep,barn,"Every morning, the farmer would sweep the barn to keep it clean for the animals.",1.0,"Before the new hay was brought in, they had to sweep the barn thoroughly.",1.0,"After the storm, debris was everywhere, so we had to sweep the barn out.",1.0,"It took hours to sweep the barn, but it was necessary to prepare for the upcoming event.",1.0,"As part of their chores, the children were taught to sweep the barn every evening.",1.0,4.6,1.0
sweep,theatre,"After the play, the crew came in to sweep the theatre.",1.0,"Every morning, the janitor has to sweep the theatre to keep it clean for the visitors.",1.0,Can you believe they used to sweep the theatre with just brooms before vacuum cleaners were invented?,1.0,It's amazing how quickly they can sweep the theatre and get it ready for the next show.,1.0,"During the renovation, they found old tickets and popcorn kernels while they were sweeping the theatre.",1.0,4.7,1.0
act,stage,The actors will act on the stage for the final rehearsal.,1.0,"Famous performers often act on this stage, making it a historic venue.",1.0,"Next month, they will act on the largest stage in the city for the annual festival.",1.0,Many beginners dream to act on the stage of the national theater.,1.0,"During the summer, local artists act on the outdoor stage in the park.",1.0,6.9,1.0
act,school,The students will act in a play at the school tomorrow.,1.0,Famous actors often act in productions hosted by the school to inspire students.,1.0,"To improve their skills, the drama club decided to act out their latest script in the school auditorium.",0.5,,0.8,"During the festival, several groups will act out historical events on the school grounds.",1.0,5.1,0.86
act,work,,0.2,The director chose to act out the confrontation scene right in the middle of the work site.,0.9,"To truly understand the character, she had to act within the confines of the work environment depicted in the script.",0.9,He found it challenging to act without the familiar backdrop of his usual work setting.,0.9,"For the indie film, they had to act in a makeshift work studio that barely had any heating.",0.8,2.9,0.74
act,theater,They decided to act in the theater downtown for the summer play.,1.0,Famous actors often act at the theater on Broadway.,1.0,Aspiring students will act in the theater next to the university.,1.0,Many celebrities got their start acting in the theater in London.,1.0,The community group will act in the theater located in the old mill for their annual performance.,1.0,6.9,1.0
act,party,"The play will act out in the party hall, bringing the story to life amidst the festive decorations.",0.9,"They decided to act the scene at the party, where the ambiance matched the script perfectly.",1.0,,0.2,"To everyone's surprise, the famous actor agreed to act a short piece from his latest movie at the party, right next to the pool.",0.9,,0.2,4.1,0.64
act,gymnasium,"The play will act out in the gymnasium, transforming it into a magical world.",1.0,A famous director decided to act his newest movie scenes in the old gymnasium.,1.0,"During the festival, several groups will act their parts in the gymnasium, making it the center of attention.",1.0,The gymnasium will act as the venue for the community theater's latest production.,1.0,Local students will act out historical events in the gymnasium for their annual project.,1.0,3.7,1.0
act,playground,The children decided to act out their favorite fairy tale on the playground.,1.0,Local theater groups often act their plays on the playground to attract a younger audience.,0.9,"During the summer, the playground becomes a stage where amateurs act out scenes from popular movies.",1.0,"To celebrate the community festival, several groups will act out historical events on the playground.",1.0,,0.2,2.9,0.82
examine,hospital,The team decided to examine the new medical equipment in the hospital.,1.0,Authorities will examine the safety protocols currently in place at the hospital.,1.0,"After the outbreak, experts were called to examine hygiene practices within the hospital.",1.0,"To improve patient care, the committee agreed to examine the workflow efficiency at the hospital.",1.0,,0.8,6.9,0.96
examine,office,The detective decided to examine the office where the crime was reported.,1.0,"Before signing the lease, they went to examine the office for any potential issues.",1.0,,0.8,"To understand the company's workflow, the consultant needed to examine the office layout.",0.9,"After the earthquake, the structural engineer came to examine the office for any damages.",1.0,4.7,0.94
examine,laboratory,The scientists will examine the new specimens in the laboratory.,1.0,"To better understand the reaction, we must examine the samples within the laboratory.",1.0,They plan to examine the ancient artifacts found in the excavation site at the laboratory.,1.0,,0.8,"After collecting soil samples from the contaminated site, the researchers will examine them in the laboratory.",1.0,6.8,0.96
examine,school,The team decided to examine the school for its suitability as a community center.,1.0,,0.7,Experts were called in to examine the school's structure after the earthquake.,0.9,The committee plans to examine the school to identify potential improvements.,1.0,,0.7,5.2,0.86
examine,court,,0.2,Detectives were called to examine the scene at the court after the unexpected incident.,1.0,,0.2,,0.2,Historians came to the court to examine the architectural significance of the building.,0.8,5.9,0.48
examine,bank,The police decided to examine the area around the bank for any clues.,0.9,,0.2,The team was eager to examine the space by the bank to set up their environmental study.,0.9,Investigators had to examine the vicinity of the bank following the mysterious incident.,0.8,Urban planners needed to examine the land adjacent to the bank for the new development project.,0.8,3.8,0.72
gamble,bar,They decided to gamble at the bar known for its high-stakes poker games.,1.0,"After work, they often gamble in the bar that has a couple of slot machines.",1.0,The group found a bar where they could gamble on horse races televised from around the country.,0.9,"She loves to gamble, so she was thrilled to discover a bar with a back room for blackjack.",0.9,"While waiting for their friends, they decided to gamble at the bar's electronic roulette table.",1.0,4.3,0.96
gamble,racetrack,"They decided to gamble at the racetrack, hoping for a big win.",1.0,"Every weekend, he would gamble away his paycheck at the racetrack.",1.0,"To celebrate her birthday, they went to gamble at the racetrack, enjoying the thrill of the races.",1.0,"After learning the basics of betting, she felt confident enough to gamble at the racetrack.",1.0,"Despite the rain, the racetrack was crowded with people eager to gamble on their favorite horses.",1.0,6.8,1.0
gamble,casino,"They decided to gamble at the casino, hoping luck was on their side.",1.0,"After dinner, we went to gamble in the casino located in the heart of the city.",1.0,Many tourists come to gamble at the casino overlooking the sea.,1.0,"He loves to gamble, so he visits the casino every weekend without fail.",1.0,"On her birthday, she chose to gamble away at the casino with her friends.",1.0,7,1.0
gamble,hotel,They decided to gamble at the hotel's luxurious casino.,0.9,Many tourists gamble in the hotel's grand gaming hall.,0.9,"After dinner, we went down to gamble in the hotel's bustling casino floor.",0.9,The hotel offers an exclusive area to gamble for its high-rolling guests.,0.9,"On vacation, gambling at the hotel's casino became our nightly entertainment.",0.9,3.5,0.9
gamble,party,,0.4,They chose to gamble away the night in the back room of the party.,0.8,,0.4,,0.4,"For her birthday, they organized a party where guests could gamble in a makeshift casino at the hotel.",0.7,3.5,0.54
gamble,mall,They decided to gamble at the new casino located inside the mall.,1.0,The mall has a section where people can gamble on arcade games.,0.9,"In the mall, there's a luxury lounge where high-stakes gambling takes place.",0.8,The mall introduced an innovative concept where shoppers can gamble for discounts at their favorite stores.,0.9,,0.2,2,0.76
