predicate,argument,role_type,reasons 1,reasons 2,reasons 3
advise,banker,ARG0,The ARG0 role for the predicate 'advise' typically represents the advisor or the entity giving advice.,"The argument 'banker' has the relevant properties of being an entity capable of giving advice, typically in financial matters.","The argument 'banker' fits well with the PropBank ARG0 role for the predicate 'advise', as it represents an entity capable of giving advice, aligning with the expected properties of an advisor."
advise,banker,ARG1,"The PropBank ARG1 role for the predicate 'advise' typically refers to the entity giving the advice, often a person or an organization.","The argument 'banker' has the relevant properties of being capable of giving advice, typically financial, and being an entity, usually a person or an organization, that can perform the action of advising.","The argument 'banker' fits well with the PropBank ARG1 role for the predicate 'advise', as it embodies the properties of an entity capable of giving advice, specifically within the context of financial matters."
advise,biologist,ARG0,The PropBank ARG0 role for the predicate 'advise' should have the properties of being the advisor or the entity giving advice.,"The argument 'biologist' has the properties of being an expert or professional in biology, potentially capable of giving specialized advice or recommendations in their field of expertise.","The argument 'biologist' fits well with the PropBank ARG0 role for the predicate 'advise', as it embodies the role of an advisor or entity giving advice, specifically in the context of biological expertise."
advise,biologist,ARG1,The ARG1 of 'advise' typically represents the entity receiving advice. This entity is usually a person or a group of people who are being advised.,"The argument 'biologist' has the property of being a potential recipient of advice, fitting the role of an entity (typically a person or group) that can be advised. This aligns with the expected properties for ARG1 in the context of the predicate 'advise'.","The argument 'biologist' fits well into the PropBank ARG1 role for the predicate 'advise', as it represents an entity that can receive advice, aligning with the expected properties of ARG1 for this predicate."
advise,business,ARG0,The PropBank ARG0 role for the predicate 'advise' should have the properties of being an adviser or someone who gives advice.,"The argument 'business' can be seen as an entity receiving advice, typically in the context of strategic, financial, or operational decisions.","The argument 'business' does not fit the PropBank ARG0 role for the predicate 'advise', as ARG0 is expected to be the adviser, not the entity receiving advice."
advise,business,ARG1,The ARG1 of 'advise' typically represents the entity receiving advice. This entity is usually a person or a group of people who are being advised.,"The argument 'business' can be seen as an entity capable of receiving advice, typically through its representatives or decision-makers. It implies an organization or commercial entity involved in professional, commercial, or industrial activities.","The argument 'business' fits the PropBank ARG1 role for the predicate 'advise' as an entity capable of receiving advice, typically through its representatives or decision-makers, indicating a good semantic fit for the role of being advised."
advise,client,ARG0,The PropBank ARG0 role for the predicate 'advise' should have the properties of being the advisor or the entity giving advice.,"The argument 'client' has the properties of being the recipient of advice, potentially seeking guidance or consultation.","The argument 'client' does not fit the PropBank ARG0 role for the predicate 'advise' because ARG0 is typically the advisor, not the recipient of advice."
advise,client,ARG1,"The PropBank ARG1 role for the predicate 'advise' typically refers to the entity giving advice or recommendations. This entity is usually a person, group of people, or an organization capable of offering guidance or suggestions.","The argument 'client' refers to an entity that is likely to receive advice or recommendations. It implies an entity that engages in a professional relationship with another party (often an individual or organization) to obtain expertise, guidance, or services. This entity is capable of seeking and potentially acting on advice given to them.","The argument 'client' does not typically fit the PropBank ARG1 role for the predicate 'advise', as ARG1 usually refers to the entity giving advice, not receiving it. In the context of 'advise', 'client' would more appropriately fit a role designated for the recipient of advice, such as ARG2."
advise,customer,ARG0,The PropBank ARG0 role for the predicate 'advise' should have the properties of being the advisor or the entity giving advice.,"The argument 'customer' has the properties of being the recipient of advice, potentially seeking guidance or information.","The argument 'customer' does not fit the PropBank ARG0 role for the predicate 'advise', as ARG0 should be the advisor, not the recipient of advice."
advise,customer,ARG1,The ARG1 of 'advise' typically represents the entity receiving advice. This entity is usually a person or an organization to whom the advice is directed.,"The argument 'customer' has the relevant property of being a potential recipient of advice, fitting well as an entity that can be advised, typically aligning with the role of ARG1 in the context of the predicate 'advise'.","The argument 'customer' fits very well into the PropBank ARG1 role for the predicate 'advise', as it represents an entity that is the recipient of advice, aligning with the expected properties of ARG1 for this predicate."
advise,designer-gardener,ARG0,The PropBank ARG0 role for the predicate 'advise' should have the properties of being the advisor or the entity giving advice.,"The argument 'designer-gardener' has the properties of being capable of giving professional or expert advice, particularly in the contexts of design and gardening.","The argument 'designer-gardener' fits well into the PropBank ARG0 role for the predicate 'advise', as it embodies the role of an advisor or entity giving advice, specifically in the domains of design and gardening."
