predicate,argument,role_type,sentence 1,sub-fit score 1,sentence 2,sub-fit score 2,sentence 3,sub-fit score 3,sentence 4,sub-fit score 4,sentence 5,sub-fit score 5,actual_fit,exp_fit
advise,banker,ARG0,The banker advised the client to invest in a diversified portfolio.,1.0,A seasoned banker advised against taking out a high-interest loan.,1.0,"Before making any major financial decisions, the banker advised consulting a tax professional.",1.0,The banker advised the young couple on how to save for their first home.,1.0,"Upon reviewing the financial statements, the banker advised the company to cut unnecessary expenses.",1.0,"6.0
",1.0
advise,banker,ARG1,The banker advised the young couple on the best mortgage options available.,1.0,A seasoned banker advised the entrepreneur to reconsider the loan terms.,1.0,The banker advised the investor about the risks of the stock market.,1.0,"Upon reviewing the financial statements, the banker advised the company to cut unnecessary expenses.",1.0,The banker advised the client to diversify their investment portfolio to mitigate risks.,0.0,"5.0
",0.8
advise,biologist,ARG0,The biologist advised the students on how to conduct their research.,1.0,A biologist advised the government on environmental policies.,1.0,Biologists often advise on the ethical considerations of genetic engineering.,1.0,The biologist advised the pharmaceutical company on the development of new drugs.,1.0,"After discovering a new species, the biologist advised the conservation team on protection strategies.",1.0,"4.2
",1.0
advise,biologist,ARG1,The biologist advises students on how to conduct ecological research.,1.0,A renowned biologist advises the government on biodiversity conservation policies.,1.0,"In the documentary, the biologist advises viewers on the importance of preserving natural habitats.",1.0,"During the conference, the biologist advises colleagues on the latest genetic editing techniques.",1.0,The biologist advises the public on how to support local wildlife conservation efforts.,1.0,"5.0
",1.0
advise,business,ARG0,The business advised its clients on the best investment strategies.,1.0,"After thorough analysis, the business advised against the proposed merger.",0.75,,0.0,The business advised the government on economic policies.,1.0,"In light of recent market changes, the business advised revising the marketing plan.",1.0,"5.3
",0.75
advise,business,ARG1,The consultant advised the business on improving its marketing strategy.,1.0,"After thorough analysis, they advised the business to expand into new markets.",1.0,"To reduce costs, an expert advised the business on streamlining its operations.",1.0,The lawyer advised the business on how to navigate new regulations.,1.0,A financial advisor advised the business on restructuring its debt.,1.0,"5.8
",1.0
advise,client,ARG0,,0.0,,0.0,,0.0,,0.0,,0.0,"3.7
",0.0
advise,client,ARG1,The lawyer advised the client on the best course of action for the case.,1.0,"After reviewing the documents, the consultant advised the client to reconsider their investment strategy.",1.0,The doctor advised the client to adopt a healthier lifestyle to improve their well-being.,1.0,The financial advisor advised the client on how to manage their debts more effectively.,1.0,The personal trainer advised the client on the most effective exercises for reaching their fitness goals.,1.0,"6.6
",1.0
advise,customer,ARG0,The customer advised the store manager to restock the popular items more frequently.,1.0,"After experiencing the service, the customer advised the company to improve their customer support.",1.0,The customer advised other shoppers online about the best deals in the store.,1.0,"Upon noticing a mistake in their bill, the customer advised the cashier to double-check the prices.",1.0,The customer advised the chef to consider adding vegan options to the menu.,1.0,"3.8
",1.0
advise,customer,ARG1,The manager advised the customer to keep the receipt for future reference.,1.0,"After reviewing the options, the consultant advised the customer to opt for the premium package for better benefits.",1.0,The technician advised the customer to turn off the device for ten minutes to reset it.,1.0,The salesperson advised the customer to consider the latest model for more advanced features.,1.0,The pharmacist advised the customer to take the medication with food to avoid stomach upset.,1.0,"6.0
",1.0
advise,designer-gardener,ARG0,The designer-gardener advised on the best plants for attracting butterflies.,1.0,A designer-gardener advised the community on sustainable gardening practices.,1.0,The designer-gardener advised the homeowner on integrating a water feature into the garden.,1.0,A designer-gardener advised the school on creating an educational garden for students.,1.0,The designer-gardener advised the city council on improving the local park's biodiversity.,1.0,"5.8
",1.0
advise,designer-gardener,ARG1,The designer-gardener advised on the best plants for attracting butterflies.,1.0,A renowned designer-gardener advised the city council on creating more green spaces.,1.0,The designer-gardener advised homeowners on sustainable gardening practices.,1.0,"After the seminar, the designer-gardener advised on how to improve soil health.",1.0,The designer-gardener advised the community garden group on effective water usage.,1.0,"3.8
",1.0
advise,doctor,ARG0,The doctor advised the patient to take the medication twice a day.,1.0,Doctors advise washing hands regularly to prevent the spread of viruses.,1.0,The doctor advised her to get plenty of rest to recover more quickly.,1.0,"After the examination, the doctor advised reducing sugar intake to improve health.",1.0,The doctor advised against traveling to the area due to the outbreak.,1.0,"6.8
",1.0
advise,doctor,ARG1,The doctor advised the patient to get more rest.,1.0,A doctor advised her to consider surgery.,1.0,The doctor advised him on the best course of treatment.,1.0,Doctors often advise eating healthy and exercising regularly.,1.0,The doctor advised against traveling due to health concerns.,1.0,"4.0
",1.0
advise,expert,ARG0,The expert advised the company on the best course of action.,1.0,Experts advise caution when dealing with unknown substances.,1.0,The expert advised the government on environmental policies.,1.0,An expert advised the team on how to improve their performance.,1.0,The expert advised the community on how to prepare for the natural disaster.,1.0,"6.5
",1.0
advise,expert,ARG1,The expert advised the company on the best course of action.,0.0,An expert advised the government on environmental policies.,1.0,The expert advised young athletes on how to improve their performance.,1.0,An expert advised the community on sustainable living practices.,1.0,The expert advised the patient on the most effective treatment options.,1.0,"3.8
",0.8
advise,hospital,ARG0,The hospital advised the patient to schedule a follow-up appointment.,0.75,The hospital advised visitors to wear masks at all times.,0.75,The hospital advised its staff to get the annual flu vaccine.,1.0,The hospital advised the community about the importance of hand hygiene.,1.0,The hospital advised on the latest health protocols during the pandemic.,0.75,"6.0
",0.85
advise,hospital,ARG1,The hospital advises patients on the best practices for post-operative care.,1.0,The hospital advises visitors on the current visiting hours and health safety protocols.,1.0,The hospital advises staff on the latest medical procedures and updates in healthcare regulations.,1.0,The hospital advises the community on how to prevent the spread of infectious diseases.,1.0,The hospital advises on nutritional plans for patients with specific dietary needs.,1.0,"4.0
",1.0
advise,investor,ARG0,The investor advised caution when entering the volatile stock market.,1.0,An experienced investor advised newcomers on how to diversify their portfolios.,1.0,"Before making any rash decisions, the investor advised consulting a financial advisor.",1.0,"The investor advised against pulling out of the market too early, citing potential gains.",1.0,"Upon reviewing the latest market trends, the investor advised holding onto the shares a bit longer.",1.0,"6.0
",1.0
