predicate,argument,role_type,sentence 1,sub-fit score 1,sentence 2,sub-fit score 2,sentence 3,sub-fit score 3,sentence 4,sub-fit score 4,sentence 5,sub-fit score 5,actual_fit,exp_fit
abandon,baby,ARG0,,0.0,,0.0,,0.0,,0.0,,0.0,3,0.0
abandon,baby,ARG1,They could never imagine anyone would abandon a baby at the doorstep.,1.0,"In the story, the queen had to abandon her baby in the forest to save it from the curse.",1.0,Authorities are searching for the person who decided to abandon a baby in the park overnight.,1.0,The community was shocked to hear that someone had chosen to abandon a baby at the local hospital.,1.0,"After finding the abandoned baby, the police made it their top priority to find the parents who could abandon their baby like that.",1.0,2.8,1.0
abandon,cat,ARG0,,0.0,,0.0,,0.0,,0.0,,0.0,4.6,0.0
abandon,cat,ARG1,The family had to abandon the cat when they moved overseas.,1.0,"Due to financial difficulties, they were forced to abandon the cat.",1.0,"After the hurricane, many people had to abandon their cats to find safety.",1.0,"The old man decided to abandon the cat in the woods, believing it would survive on its own.",1.0,"When the apartment complex caught fire, residents had to quickly abandon their cats to escape.",1.0,4.8,1.0
abandon,child,ARG0,,0.0,,0.0,,0.0,,0.0,,0.0,4.6,0.0
abandon,child,ARG1,"The couple decided to abandon the child at the doorstep of a fire station, hoping for a better future for him.",1.0,"Due to the war, many parents were forced to abandon their children, leaving them in the care of orphanages.",1.0,"In the movie, the protagonist was abandoned as a child, which led to a journey of self-discovery and reconciliation.",1.0,"The harsh economic conditions compelled the young mother to abandon her child, with a note, at the church's entrance.",1.0,"After years of struggle with addiction, she made the painful decision to abandon her child, believing it was in his best interest.",1.0,3.1,1.0
abandon,kidnapper,ARG0,The kidnapper abandoned his plan to demand a ransom after realizing the police were closing in.,1.0,"Fearing capture, the kidnapper abandoned the hideout in the middle of the night.",1.0,"Once the kidnapper abandoned the pursuit, the hostages found their way to safety.",1.0,,0.9,"Realizing the error of his ways, the kidnapper abandoned the captive unharmed in a public space.",1.0,3.9,0.98
abandon,kidnapper,ARG1,The kidnapper decided to abandon his plan at the last minute.,1.0,,0.2,"Feeling remorse, the kidnapper chose to abandon the captive near a police station.",1.0,The kidnapper had no choice but to abandon the stolen vehicle when it ran out of gas.,1.0,"Realizing the risk was too high, the kidnapper decided to abandon the operation entirely.",1.0,1.5,0.84
accept,award,ARG0,,0.0,,0.0,,0.0,,0.0,,0.0,1.1,0.0
accept,award,ARG1,The committee will accept the award on behalf of the absent recipient.,1.0,"After years of hard work, the young scientist finally got to accept the award.",1.0,"Due to her groundbreaking research, she was honored to accept the award.",1.0,The organization decided to accept the award with gratitude and humility.,1.0,"He couldn't believe he was standing on stage, ready to accept the award.",1.0,6.6,1.0
accept,friend,ARG0,My friend accepted the invitation with enthusiasm.,1.0,,0.9,,0.9,Their friend accepted the apology sincerely.,1.0,Your friend accepted the gift gratefully.,1.0,6.1,0.96
accept,friend,ARG1,The committee will accept a friend as a new member.,1.0,,0.5,The community center is eager to accept a friend into their volunteer program.,1.0,The online forum was quick to accept a friend as a new moderator.,1.0,,0.5,5.8,0.8
accept,neighbor,ARG0,The neighbor accepted the invitation with a warm smile.,1.0,Our neighbor accepted the package for us while we were away.,1.0,The neighbor accepted the responsibility of feeding the cat during our vacation.,1.0,Their neighbor accepted the offer to join the neighborhood watch.,1.0,The neighbor accepted the challenge of organizing the block party.,1.0,5.4,1.0
accept,neighbor,ARG1,,0.8,"After much deliberation, they decided to accept the neighbor as a member of the local council.",1.0,,0.8,,0.8,The local sports team will accept the neighbor as a new player after seeing his skills.,1.0,4.4,0.88
accept,student,ARG0,The student accepted the challenge with enthusiasm.,1.0,A student accepted the prestigious scholarship after months of hard work.,1.0,,0.9,The student accepted the professor's invitation to join the research project.,1.0,The student accepted the apology from her classmate gracefully.,1.0,5.9,0.98
accept,student,ARG1,The university will accept the student despite his low test scores.,1.0,Our program decided to accept the student based on her exceptional portfolio.,1.0,"After much deliberation, the committee agreed to accept the student into the research internship.",1.0,The scholarship foundation will accept the student for their outstanding community service record.,1.0,"Due to her impressive athletic abilities, the sports academy chose to accept the student.",1.0,5.3,1.0
accept,teenager,ARG0,The teenager accepted the challenge with determination.,1.0,A teenager accepted the award on behalf of the entire team.,1.0,The teenager accepted the invitation to join the science club.,1.0,Every teenager accepted the new policy at school without complaint.,1.0,The teenager accepted the responsibility of caring for the family pet.,1.0,5.5,1.0
accept,teenager,ARG1,The teenager accepted the challenge with determination.,1.0,A teenager accepted the responsibility of caring for the family pet while their parents were away.,1.0,The teenager accepted the award with a mixture of pride and humility.,1.0,Every teenager accepted into the program felt a sense of achievement.,1.0,"The teenager accepted the apology from her friend, ready to move past the argument.",1.0,4.1,1.0
accuse,criminal,ARG0,The criminal accused his accomplice of betraying him to the police.,1.0,"In a surprising turn of events, the criminal accused the judge of bias during the trial.",1.0,The criminal accused the witness of lying about the events of that night.,1.0,"Frustrated with the lack of evidence, the criminal accused the detectives of framing him.",1.0,The criminal accused the media of portraying him unfairly and exacerbating public fear.,1.0,3.4,1.0
accuse,criminal,ARG1,The criminal accuses the system of being unjust.,1.0,"In a surprising turn of events, the criminal accuses his partner of betrayal.",1.0,The criminal accuses the media of spreading lies about him.,1.0,"During the trial, the criminal accuses the witness of lying.",1.0,The criminal accuses the police of using excessive force during his arrest.,1.0,6.9,1.0
accuse,defendant,ARG0,The defendant accuses the prosecution of unfair bias.,1.0,"In a surprising turn, the defendant accuses the judge of misconduct.",1.0,"Throughout the trial, the defendant accuses the media of spreading falsehoods.",1.0,The defendant accuses the police of planting evidence.,1.0,"Frustrated, the defendant accuses the jury of not paying attention.",1.0,3.6,1.0
accuse,defendant,ARG1,The defendant was accused of embezzlement by the prosecution.,1.0,"In court, the defendant was accused of lying under oath.",1.0,The defendant was accused of tampering with evidence before the trial began.,1.0,"During the investigation, the defendant was accused of obstructing justice.",1.0,The defendant was accused of conspiracy to commit fraud by the authorities.,1.0,6.8,1.0
accuse,dog,ARG0,,0.1,,0.1,,0.1,,0.1,,0.1,1.3,0.1
accuse,dog,ARG1,,0.1,,0.1,,0.1,,0.1,The dog was accused of barking all night and disturbing the peace.,0.7,3.5,0.22
